geo_accession,title,paper_pmid,species,strain,mi_model,surgery_age,harvest_timepoint,tissue_region,technology,platform,groups,has_sham,raw_fastq,notes
GSE241928,Early Age Efferocytosis Directs Macrophage Arachidonic Acid Metabolism for Tissue Regeneration,39938482,Mus musculus,C57BL6/J,MI (details unconfirmed; likely LAD ligation),P1 and 8 weeks,unconfirmed (check paper),heart (infarct region),scRNA-seq 10x 3' v3/v3.1,NovaSeq 6000,WT P1 Sham n1; WT P1 MI n2; WT 8w Sham n1; WT 8w MI n1; MerTK-KO P1 Sham n1; MerTK-KO P1 MI n1,yes,PRJNA1010769,CD45-enriched 2:1 recombined; only GSE with P1 AND adult MI in one series
GSE153480,Single cell RNA-seq of neonatal heart regeneration,33296652,Mus musculus,ICR/CD-1,LAD permanent ligation,P1 and P8,1 and 3 dpi,ventricle below ligation plane,scRNA-seq 10x 3' v2,NextSeq 500,P1/P8 x MI/Sham x 1/3d (n=1 library each),yes,SRP269195,17320 cells / 8 samples
GSE153481,Cell-type-specific gene regulatory networks underlying murine neonatal heart regeneration (superseries),33296652,Mus musculus,ICR/CD-1,LAD permanent ligation,P1 and P8,1 and 3 dpi,ventricle below ligation plane,scRNA-seq + scATAC-seq,NextSeq 500,as GSE153480 + scATAC P1/P8 3d,yes,PRJNA642808,superseries of GSE153479/153480
GSE130699,Single nucleus RNA-seq of cardiomyocytes from neonatal mouse hearts after injury,32220304,Mus musculus,ICR/CD1,LAD permanent ligation,P1 and P8,1 and 3 dpi,ventricle below ligation plane (PCM1+ CM nuclei),snRNA-seq 10x 3' v2,NextSeq 500,P1/P8 x MI/Sham x 1/3d (n=1 each),yes,SRP194953,CM-enriched; subseries of GSE142366
GSE142366,Dynamic transcriptional responses to injury of regenerative and non-regenerative cardiomyocytes (superseries),32220304,Mus musculus / Rattus norvegicus,ICR/CD1 + Sprague-Dawley,LAD ligation (mouse); adenovirus (rat NRVM in vitro),P1/P8 (mouse),1 and 3 dpi,ventricle,snRNA-seq 10x v2,NextSeq 500,8 mouse + 9 rat NRVM + 1 P1D3MI,yes,PRJNA596769,rat part is in vitro
GSE253984,Endothelial cells adopt a pro-reparative immune responsive signature during cardiac injury,38012001,Mus musculus,C57BL/6,LAD permanent ligation,P1 and P8,3 dpi,whole heart or CD31+ enriched,scRNA-seq + snATAC-seq,NextSeq 500 / HiSeq 2500,13 samples (snATAC whole heart P1 n2 P8 n3; CD31+ n2+n2; scRNA CD31+ n2+n2),no,PRJNA1068057,EC-focused
GSE245872,Cardiac conduction system regeneration prevents arrhythmias after myocardial infarction,39753976,Mus musculus,Cx40-eGFP reporter,LAD ligation,P1 and P7,3 dpi,ventricle (Cx40-eGFP+ VCS enriched),scRNA-seq 10x 3' v3.1 + Cell Multiplexing,NovaSeq 6000,P1/P7 x MI/Sham (4 GEX + 4 FB libraries; 5-8 hearts pooled each),yes,PRJNA1030318,conduction-system enriched
GSE227189,Single cell transcriptomic analyses of the dynamic local and systemic response to cardiac injury in mice and zebrafish (mouse part),39627536,Mus musculus,C57BL/6J (10-12 wk, male),LAD permanent ligation,adult,1/7/30 dpi,whole heart + blood/liver/kidney/islets,scRNA-seq 10x 3' v3,NovaSeq 6000,heart 1/7/30 dpi MI/Sham (n=1 pooled ~2 donors each),yes,PRJNA943552,~196k mouse cells; CM <200/sample; CELLxGENE annotations
GSE146285,Single-cell transcriptomics during different phases post cardiac ischemia reveals secreted B2M to regulate fibroblast activation,33514846,Mus musculus,C57BL/6 (8 wk, male),permanent ligation MI (3d group) + I/R + sham,adult,MI 3 d; I/R 1/3/14 d; Sham 1/14 d,LV infarct region,scRNA-seq 10x 3' v2,NextSeq 500,Sham-1D n4; Sham-14D n8; IR-1D n9; IR-3D n7; IR-14D n3; MI-3D n5,yes,SRP251397,same chemistry (v2) as GSE153480
GSE176092,Spatiotemporal transcriptome analysis reveals critical roles for mechano-sensing genes at the border zone in remodeling after myocardial infarction,NA,Mus musculus,unconfirmed (adult),MI,adult,1/7/14 dpi,IZ+BZ / RZ,CM snRNA-seq + non-CM scRNA-seq + spatial,HiSeq 2500 / NovaSeq 6000,1118 samples (CM day1/7/14 IZ+BZ RZ; CM sham; nonCM day1/7 sham; spatial sham/MI),yes,SRP322511,PMID not registered in GEO
